snapped_at,price,market_cap,total_volume
2018-07-11 00:00:00 UTC,0.9988831733774709,52617253.94701822,172455.97070223774
2018-07-12 00:00:00 UTC,1.0145291053742551,53646307.57155676,35762.78293789322
2018-07-13 00:00:00 UTC,1.0043737833019677,53190305.772783116,138056.20342631996
2018-07-14 00:00:00 UTC,0.9939063974800665,52718378.61523391,41058.42434322697
2018-07-15 00:00:00 UTC,0.9935312394746398,52871417.65866729,31399.878875004324
2018-07-16 00:00:00 UTC,1.0026545861282026,53440394.54182514,18362.97171917408
2018-07-17 00:00:00 UTC,0.9994751208797442,53424852.68414897,117881.75820075082
2018-07-18 00:00:00 UTC,0.989680670063238,53029608.04961293,210657.80266997067
2018-07-19 00:00:00 UTC,0.9948704449419637,53636919.877006106,394086.6166551041
2018-07-20 00:00:00 UTC,0.9982358114202701,54089826.70084813,313606.7913834392
2018-07-21 00:00:00 UTC,1.0096864677797686,54793082.64438058,339868.95394764707
2018-07-22 00:00:00 UTC,0.9861996993908958,53636192.556049004,86289.74458866887
2018-07-23 00:00:00 UTC,1.0024548547943073,54589737.710150674,83045.49118355593
2018-07-24 00:00:00 UTC,0.9982711859342648,54503292.759401865,117942.29057811771
2018-07-25 00:00:00 UTC,1.0048689410927347,55080733.39697811,155904.9735147938
2018-07-26 00:00:00 UTC,0.9802611822338403,53799397.05062528,127745.95351462884
2018-07-27 00:00:00 UTC,0.995634061703579,54680349.11428639,94792.00599744749
2018-07-28 00:00:00 UTC,0.9990814361903521,54941601.233345,218798.68292667263
2018-07-29 00:00:00 UTC,0.9898073513273296,54469350.944417536,56703.168200000255
2018-07-30 00:00:00 UTC,0.9957289346276903,54849891.6635116,51109.035155178026
2018-07-31 00:00:00 UTC,0.9912224235481658,54676223.3894414,151747.21755143377
2018-08-01 00:00:00 UTC,0.9958450229527311,55045318.706036866,237159.98765531924
2018-08-02 00:00:00 UTC,0.9987903752417036,55152825.97929465,303716.9773958544
2018-08-03 00:00:00 UTC,0.9965410022214519,55160125.98352789,154145.8283269251
2018-08-04 00:00:00 UTC,0.9984752392717001,55480471.37280367,601902.7646537118
2018-08-05 00:00:00 UTC,0.9976688024977521,55484073.43484529,368223.62769154075
2018-08-06 00:00:00 UTC,0.989097146133392,55022567.237317584,133244.51015103332
2018-08-07 00:00:00 UTC,0.9951022660693893,55486606.81065613,197949.80228050676
2018-08-08 00:00:00 UTC,0.9866268328002029,54410703.76690048,495598.79603162303
2018-08-09 00:00:00 UTC,0.9871752597934897,54369003.20096218,1141197.4529690659
2018-08-10 00:00:00 UTC,0.9852419555226394,54807429.657627776,334552.56549799925
2018-08-11 00:00:00 UTC,1.0020790858371196,53963301.558303915,1996478.968857422
2018-08-12 00:00:00 UTC,0.9812337505931238,51606940.17356596,846219.3383580046
2018-08-13 00:00:00 UTC,0.9902011302145898,52563471.412094235,906290.3539267476
2018-08-14 00:00:00 UTC,1.0006410213012151,50478345.96633029,1551472.0947099545
2018-08-15 00:00:00 UTC,1.0022465323116985,46147976.53790116,2679907.7010728577
2018-08-16 00:00:00 UTC,1.0055670650321522,46818629.204154,690182.4098344404
2018-08-17 00:00:00 UTC,1.0047854058028025,46714719.935519636,148593.15561674966
2018-08-18 00:00:00 UTC,0.9712001572286955,45473475.86846808,399025.3683579554
2018-08-19 00:00:00 UTC,0.9950229650086291,46818605.6743479,686094.9429189152
2018-08-20 00:00:00 UTC,0.9978306875085651,47011314.11196674,349706.98015596456
2018-08-21 00:00:00 UTC,1.0061394579515874,47573951.011669844,577508.1793067991
2018-08-22 00:00:00 UTC,1.0042640981931905,47221844.0880245,338617.01832785574
